UFID,Genus,Species,consensusESU,molecularESU,morphologicalESU,Country,Lat,Long,Date Collected,Extract,notes,ossicle_pictures,Photo,n16S,n16Sc,nCOI,nATP6,nc0036,nc0775,nITS,nLSU,nH3a,sumLoci
MHE006,Holothuria,impatiens,EP,EP,,Mexico,,,,A0004,,,,1,0,1,0,0,0,0,0,0,2
MHE048,Holothuria,impatiens,EP,EP,,Mexico,,,,A0031,,,,1,0,1,0,0,0,0,0,0,2
4812,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Oahu,19.99667,-155.24556,2/24/2006,C0020,,,,1,1,1,1,1,0,1,0,1,7
1858,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Maui,20.810833,-156.621389,11/5/1998,C0022,,,,1,1,1,1,1,0,0,0,1,6
1842,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Maui,20.810833,-156.621389,11/5/1998,C0024,,,,1,0,1,0,0,0,0,0,0,2
FRM134,Holothuria,impatiens,EP,EP,,Panama,7.64,-81.739,,C0028,,,no,1,1,1,1,1,0,1,0,1,7
7902,Holothuria,impatiens,WA,,WA,Belize,16.408,-88.114,10/10/2008,C0199,,,,0,0,1,0,0,0,0,0,0,1
7070a,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.859323,45.268639,6/2/2008,C0200,,,,0,0,1,0,0,0,0,0,0,1
7070b,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.859323,45.268639,6/2/2008,C0201,,,,0,0,1,0,0,0,0,0,0,1
7163a,Holothuria,impatiens,ESU2,,ESU2,Nosy B̩,-13.44624,48.33157,5/26/2008,C0202,,,,0,0,1,0,0,0,0,0,0,1
7163b,Holothuria,impatiens,ESU2,,ESU2,Nosy B̩,-13.44624,48.33157,5/26/2008,C0203,,,,0,0,1,0,0,0,0,0,0,1
7055b,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.947371,45.099797,5/29/2008,N1193,,,,0,0,0,0,0,0,0,0,0,0
7055b,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.947371,45.099797,5/29/2008,C0207,,,,0,0,1,0,0,0,0,0,0,1
7519a,Holothuria,impatiens,ESU3,,ESU3,Nosy B̩,-13.4244,48.3642,5/15/2008,C0208,,,,0,0,1,0,0,0,0,0,0,1
7519b,Holothuria,impatiens,ESU3,,ESU3,Nosy B̩,-13.4244,48.3642,5/15/2008,C0209,,,,0,0,1,1,1,0,1,0,1,5
6058,Holothuria,impatiens,,missing,ESU1/hawaii,Oahu,21.405246,-157.984712,10/2006,FLMNH_023_A10,,,yes,0,0,0,0,0,0,0,0,0,0
6243,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,FFS,23.7212,-166.1328,10/24/2006,FLMNH_023_F07,,,yes,0,0,1,0,0,0,0,0,0,1
8585,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.667892,145.4443815,2/2009,FLMNH_036_B03,,,yes,0,0,1,0,0,0,0,0,0,1
8406,Holothuria,impatiens,ESU2,ESU2,ESU2,Lizard Island,-14.7746,145.3673,2/16/2009,FLMNH_036_B06,,,yes,0,0,1,0,0,0,0,0,0,1
8544,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.6857,145.4474,2/25/2009,FLMNH_036_C03,,,yes,0,0,1,0,0,0,0,0,0,1
8172,Holothuria,impatiens,ESU2,ESU2,ESU2,Lizard Island,-14.667892,145.4443815,2/9/2009,FLMNH_036_C07,,,yes,0,0,1,0,0,0,0,0,0,1
8336,Holothuria,impatiens,gracilis,gracilis,ESU1,Lizard Island,-14.45434,145.308842,2/15/2009,FLMNH_036_D01,,,yes,0,0,1,0,0,0,0,0,0,1
8174,Holothuria,impatiens,ESU2,ESU2,ESU2,Lizard Island,-14.667892,145.4443815,2/9/2009,FLMNH_036_D07,,,yes,0,0,1,0,0,0,0,0,0,1
8348,Holothuria,gracilis,gracilis,gracilis,gracilis,Lizard Island,-14.6068,145.3506,2/16/2009,FLMNH_036_D11,,,yes,0,0,1,0,0,0,0,0,0,1
8459,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.3902,145.2737,2/21/2009,FLMNH_036_E04,,,yes,0,0,1,0,0,0,0,0,0,1
8288,Holothuria,impatiens,gracilis,gracilis,gracilis,Lizard Island,-14.6805,145.4714,2/10/2009,FLMNH_036_E08,,,yes,0,0,1,0,0,0,0,0,0,1
8354,Holothuria,impatiens,gracilis,gracilis,gracilis,Lizard Island,-14.7746,145.3673,2/16/2009,FLMNH_036_E11,,,yes,0,0,1,0,0,0,0,0,0,1
8364,Holothuria,impatiens,gracilis,gracilis,gracilis,Lizard Island,-14.7746,145.3673,2/16/2009,FLMNH_036_F03,,,yes,0,0,1,0,0,0,0,0,0,1
8192,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.6805,145.4714,2/10/2009,FLMNH_036_F07,,,yes,0,0,1,0,0,0,0,0,0,1
8355,Holothuria,impatiens,ESU2,ESU2,ESU2,Lizard Island,-14.7746,145.3673,2/16/2009,FLMNH_036_G11,,,yes,0,0,1,0,0,0,0,0,0,1
6138,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,FFS,23.8732,-166.2348,10/16/2006,FLMNH_038_C07,,,,0,0,1,0,0,0,0,0,0,1
6140,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,FFS,23.8732,-166.2348,10/16/2006,FLMNH_038_D06,,,,0,0,1,0,0,0,0,0,0,1
6141,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,FFS,23.8732,-166.2348,10/16/2006,FLMNH_038_E06,,,,0,0,1,0,0,0,0,0,0,1
6139,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,FFS,23.8732,-166.2348,10/16/2006,FLMNH_038_E08,,,,0,0,1,0,0,0,0,0,0,1
6142,Holothuria,impatiens,Hawaii,Hawaii,ESU1,FFS,23.8732,-166.2348,10/16/2006,FLMNH_038_F06,,,,0,0,1,0,0,0,0,0,0,1
6143,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,FFS,23.8732,-166.2348,10/16/2006,FLMNH_038_G06,,,,0,0,1,0,0,0,0,0,0,1
7488,Holothuria,impatiens,ESU2,ESU2,ESU2,Nosy B̩,-13.4244,48.3642,5/15/2008,FLMNH_043_A06,,,,0,0,1,0,0,0,0,0,0,1
7383,Holothuria,impatiens,ESU3,ESU3,ESU1,Nosy B̩,-13.4806,48.2333,5/14/2008,FLMNH_043_A08,,,yes,0,0,1,0,0,0,0,0,0,1
7531,Holothuria,impatiens,ESU2,ESU2,ESU2,Nosy B̩,-13.4139,48.3056,5/16/2008,FLMNH_043_B09,,,yes,0,0,1,0,0,0,0,0,0,1
7541,Holothuria,impatiens,ESU2,ESU2,ESU2,Nosy B̩,-13.4139,48.3056,5/16/2008,FLMNH_043_D11,,,yes,0,0,1,0,0,0,0,0,0,1
7384,Holothuria,impatiens,ESU2,ESU2,ESU2,Nosy B̩,-13.4806,48.2333,5/14/2008,FLMNH_043_G07,,,yes,0,0,1,0,0,0,0,0,0,1
8942,Holothuria,impatiens,ESU3,ESU3,gracilis,Tanzania,-6.38733,39.28727,8/16/2009,FLMNH_080_A03,,,,0,0,1,0,0,0,0,0,0,1
8574,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.667892,145.4443815,2/2009,FLMNH_080_A05,,,yes,0,0,1,0,0,0,0,0,0,1
8943,Holothuria,impatiens,ESU2,ESU2,ESU2,Tanzania,-6.38733,39.28727,8/16/2009,FLMNH_080_B04,,,,0,0,1,0,0,0,0,0,0,1
8604,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.667892,145.4443815,2/2009,FLMNH_080_C06,,,no,0,0,1,0,0,0,0,0,0,1
8939,Holothuria,impatiens,ESU1,ESU1,ESU1,Tanzania,-6.38733,39.28727,8/16/2009,FLMNH_080_C11,,,,0,0,1,0,0,0,0,0,0,1
8944,Holothuria,impatiens,ESU2,ESU2,ESU2,Tanzania,-6.38733,39.28727,8/16/2009,FLMNH_080_E05,,,,0,0,1,0,0,0,0,0,0,1
8603,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.667892,145.4443815,2/2009,FLMNH_080_G03,,,no,0,0,1,0,0,0,0,0,0,1
9440,Holothuria,impatiens,gracilis,gracilis,gracilis,Ningaloo,-22.74152,113.6836,5/15/2009,FLMNH_093_A03,,,,0,0,1,0,0,0,0,0,0,1
9544,Holothuria,impatiens,gracilis,gracilis,gracilis,Ningaloo,-22.49297,113.7258,5/2009,FLMNH_093_C06,,,yes,0,0,1,0,0,0,0,0,0,1
9628,Holothuria,impatiens,ESU2,ESU2,ESU2,Ningaloo,-22.72148,113.6424,5/2009,FLMNH_094_B03,,,yes,0,0,1,0,0,0,0,0,0,1
9611,Holothuria,impatiens,ESU2,ESU2,ESU2,Ningaloo,-22.59,113.65,5/2009,FLMNH_094_B05,,,yes,0,0,1,0,0,0,0,0,0,1
4713,Holothuria,impatiens,tiger,tiger,tiger,Marianas,13.5,144.8,2003,FLMNH_112_G06,,,,0,0,1,0,0,0,0,0,0,1
9412,Holothuria,gracilis,gracilis,gracilis,,Ningaloo,-22.67533,113.6843,05/01/09,FLMNH_120_B04,,,yes,0,0,1,0,0,0,0,0,0,1
9637,Holothuria,impatiens,Gala,Gala,Gala,Galapagos Islands,-0.647814,-91.177374,6/26/1991,FLMNH_154_A02,,,,0,0,1,0,0,0,0,0,0,1
9640,Holothuria,impatiens,Gala,Gala,Gala,Galapagos Islands,0.011035,-91.218653,5/3/1996,FLMNH_154_D02,,,,0,0,0,0,0,0,0,0,0,0
9641,Holothuria,impatiens,Gala,Gala,Gala,Galapagos Islands,-1.336557,-90.298985,3/8/1997,FLMNH_154_E02,,,,0,0,1,0,0,0,0,0,0,1
9353,Holothuria,impatiens,ESU1,missing,ESU1,Glorieuses,-11.5775,47.28366667,5/8/2009,FLMNH_160_C05,,,,0,0,0,0,0,0,0,0,0,0
9343,Holothuria,impatiens,ESU1,missing,ESU1,Ile du Lys,-11.51576667,47.37331667,5/7/2009,FLMNH_160_D05,,,,0,0,0,0,0,0,0,0,0,0
9192,Holothuria,impatiens,ESU1,ESU1,ESU1,Europa,-22.34656667,40.33203333,4/23/2009,FLMNH_160_E05,,,,0,0,1,0,0,0,0,0,0,1
10078,Holothuria,truncata,gracilis,gracilis,truncata,Heron Island,-23.42996,151.9505,11/20/2009,FLMNH_162_E12,,,yes,0,0,1,0,0,0,0,0,0,1
10207,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23,152,11/2009,FLMNH_168_B09,,,no,0,0,1,0,0,0,0,0,0,1
10145,Holothuria,gracilis,gracilis,gracilis,gracilis?,Heron Island,-23.4312833333,152.03375,11/23/2009,FLMNH_168_C04,,,yes,0,0,1,0,0,0,0,0,0,1
10192,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23,152,11/2009,FLMNH_168_D08,,,yes,0,0,1,0,0,0,0,0,0,1
10184,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23.54396,151.72279,11/27/2009,FLMNH_168_F08,,,yes,0,0,1,0,0,0,0,0,0,1
10146,Holothuria,impatiens,gracilis,gracilis,?,Heron Island,-23.4283666667,151.95455,11/25/2009,FLMNH_168_G03,,,yes,0,0,1,0,0,0,0,0,0,1
10208,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23,152,11/2009,FLMNH_168_G08,,,no,0,0,1,0,0,0,0,0,0,1
10193,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23,152,11/2009,FLMNH_168_H07,,,yes,0,0,1,0,0,0,0,0,0,1
10206,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23,152,11/2009,FLMNH_168_H09,,,no,0,0,1,0,0,0,0,0,0,1
10043,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23.3174166667,151.7169833333,11/17/2009,FLMNH_171_A07,,,yes,0,0,1,0,0,0,0,0,0,1
10129,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23.4417666667,151.9004333333,11/16/2009,FLMNH_171_C03,,,no,0,0,1,0,0,0,0,0,0,1
10130,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23.4417666667,151.9004333333,11/16/2009,FLMNH_171_D03,,,no,0,0,1,0,0,0,0,0,0,1
10053,Holothuria,truncata,gracilis,gracilis,truncata,Heron Island,-23.2891333333,151.76695,11/17/2009,FLMNH_171_D04,,,yes,0,0,1,0,0,0,0,0,0,1
10124,Holothuria,truncata,gracilis,gracilis,truncata,Heron Island,-23.4417666667,151.9004333333,11/16/2009,FLMNH_171_G03,,,no,0,0,1,0,0,0,0,0,0,1
4737,Holothuria,impatiens,tiger,tiger,tiger?,Guam,13.5403,144.804831,2003,G0095,,yes,,1,0,0,0,0,0,0,0,0,1
1611b,Holothuria,impatiens,Wpac,Wpac,ESU1,Palau,,,3/5/2003,G0102,,,,1,1,0,0,0,0,0,0,0,2
4709,Holothuria,impatiens,tiger,tiger,tiger,Guam,13.5,144.8,2003,G0108,,,,1,1,1,0,0,0,0,0,0,3
3430,Holothuria,impatiens,EP,EP,EP,Panama,8.243,-78.8723333333,4/7/2004,G0149,,,,1,0,1,0,0,0,0,0,0,2
4808,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Oahu,19.99667,-155.24556,2/24/2006,G0181,,,,1,1,1,0,0,0,0,0,0,3
2100,Holothuria,impatiens,WA,WA,WA,Virgin Islands,18.3390972222,-64.6761444444,,G0222,,,,1,1,1,1,1,0,0,0,1,6
MOLAF087,Holothuria,impatiens,Medit,Medit,,Sicily,38.13,15.05,,G0242,,,,1,0,1,0,1,0,0,0,0,3
LACM_2003_76,Holothuria,impatiens,WA,WA,subsample only,Bocas,9.350162,-82.259313,,G0341,,,,1,1,0,0,0,0,0,0,0,2
BNZ1761,Holothuria,impatiens,ESU2,Wpac,Wpac,,,,,G0348,,,,1,0,0,0,0,0,0,0,0,1
929,Holothuria,impatiens,Hawaii,Hawaii,BandW,Hawaii,20.999748,-156.667097,10/10/2000,J0321,,,,1,0,1,0,0,0,0,0,0,2
1280,Holothuria,impatiens,tiger,tiger,tiger,Maui,21.001197,-156.668389,11/12/2002,J0419,,yes (buttons only),,1,1,1,1,1,0,1,0,1,7
Samyn,Holothuria,impatiens,ESU1,ESU1,,Comoros,-11.65,43.33,,K0126,,,,1,0,1,0,0,0,0,0,0,2
MOLAF123,Holothuria,impatiens,Medit,Medit,,Sicily,38.13,15.05,,N0014,,,,1,0,1,0,1,0,0,0,1,4
MOLAF125,Holothuria,impatiens,ESU1,ESU1,,GBR,-12.2533333,143.2316667,,N0023,,,,1,0,1,0,0,0,0,0,0,2
MOLAF138,Holothuria,impatiens,ESU3,ESU3,,PNG,-10.33,150.42,,N0027,,,,1,1,1,0,0,0,0,0,0,3
MOLAF139,Holothuria,impatiens,ESU1,ESU1,,PNG,-9.536,147.289,,N0028,,,,1,1,1,0,0,0,0,0,0,3
9667,Holothuria,impatiens,Gala,Gala,Gala,Galapagos Islands,-0.761374,-90.304248,4/29/1994,"N0057,N0188,FLMNH_154_G06",,,,0,0,0,0,0,0,0,0,1,1
9668,Holothuria,impatiens,Gala,Gala,Gala,Galapagos Islands,-0.25922,-91.461394,5/2/1996,"N0061,N0185,FLMNH_154_H06",,,,0,0,1,1,1,0,0,0,1,4
3625,Holothuria,impatiens,ESU1,ESU1,ESU1,Palau,7.161111,134.376111,,N0122,,,,1,1,1,0,0,0,0,0,0,3
4343,Holothuria,impatiens,ESU1,ESU1,ESU1,Vanuatu,-15.4777777778,167.2583333333,1/18/2005,N0123,,,,1,0,1,0,0,0,0,0,0,2
216,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.5,144.8,8/22/1984,N0124,,,,0,0,1,0,0,0,0,0,0,1
2268,Holothuria,impatiens,ESU1,ESU1,ESU1,Papua New Guinea,-3.5908333333,148.0319444444,6/20/2003,N0125,,,,1,0,1,0,0,0,0,0,0,2
220,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.5,144.8,8/22/1984,N0126,,,,0,0,1,0,0,0,0,0,0,1
3929,Holothuria,impatiens,ESU1,ESU1,ESU1,Okinawa,13.5,144.8,7/4/2004,N0127,,,,0,0,1,0,0,0,0,0,0,1
3928,Holothuria,impatiens,ESU1,ESU1,ESU1,Okinawa,13.5,144.8,7/26/2004,N0128,,,,1,0,1,0,0,0,0,0,0,2
4307,Holothuria,impatiens,ESU1,ESU1,ESU1,Vanuatu,-15.5325,167.2141666667,1/16/2005,N0129,,,,1,0,1,0,0,0,0,0,0,2
574,Holothuria,impatiens,ESU1,ESU1,ESU1,Tikehau,-15.133333,-148.233333,6/10/2001,N0130,,,,1,0,1,0,0,0,0,0,0,2
FRM106,Holothuria,impatiens,EP,EP,,Panama,7.97,-82.03,,N0132,,,yes,1,1,1,1,1,0,1,0,1,7
FRM107,Holothuria,impatiens,EP,EP,,Panama,7.966,-81.983,,N0133,,,yes,1,1,1,1,1,0,1,0,0,6
FRM110,Holothuria,impatiens,EP,EP,,Panama,7.97,-82.03,,N0134,,,yes,1,1,1,1,1,0,1,0,1,7
4264,Holothuria,impatiens,ESU1,ESU1,ESU1,Oman,23.637545,58.48879,1/26/2005,"N0146,C0021",,,,1,1,1,0,0,0,0,0,0,3
1850,Holothuria,impatiens,ESU1,ESU1,ESU1/hawaii,Oahu,21.287347,-157.672663,8/31/1999,"N0147,C0023",,,,1,1,1,1,1,0,1,0,1,7
596,Holothuria,impatiens,ESU1,ESU1,ESU1,Moorea,-17.5,-149.8,10/26/2001,N0148,,,,1,1,1,0,0,0,0,0,0,3
1587,Holothuria,impatiens,Hawaii,Hawaii,BandW,Hawaii,20.96403,-156.667884,,N0149,,,,1,0,1,0,0,0,0,0,0,2
FRM124,Holothuria,impatiens,EP,EP,,Panama,7.627,-81.7265,,N0167,,,no,1,1,1,1,1,0,1,0,1,7
9655,Holothuria,impatiens,Gala,Gala,Gala,Galapagos Islands,-0.296018,-91.655883,5/4/1994,"N0184,FLMNH_154_G04",,,,1,0,1,1,1,0,0,0,1,5
FRM124small,Holothuria,impatiens,EP,EP,,Panama,7.627,-81.7265,,N0240,,,no,1,1,1,1,1,0,1,0,0,6
FRM153,Holothuria,impatiens,EP,EP,,Panama,7.64,-81.739,,N0263,,,no,1,1,1,1,1,0,1,0,0,6
5620,Holothuria,impatiens,gracilis,gracilis,gracilis,Bohol,9.55361,123.72852,6/11/2006,N0372,,,,1,1,1,1,1,0,1,0,0,6
10122,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23.4417666667,151.9004333333,11/16/2009,N0484,,,no,1,1,1,1,1,0,1,1,1,8
10123,Holothuria,impatiens,ESU2,ESU2,ESU2,Heron Island,-23.43304,152.04089,11/23/2009,"N0485,N1161",,,no,0,1,1,0,0,0,0,0,0,2
10125,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23.4417666667,151.9004333333,11/16/2009,N0486,,,no,0,0,0,0,0,0,0,0,0,0
7929,Holothuria,impatiens,gracilis,,gracilis,One Tree Island,-23.502138,152.086632,11/2008,"N0488, N0489",,,no,0,0,0,0,0,0,0,0,0,0
10951,Holothuria,impatiens,ESU1,ESU1,ESU1,Okinawa,26.444199,127.772746,5/14/2011,N0553,,,yes,0,0,1,1,1,0,1,0,1,5
10955,Holothuria,impatiens,ESU1,ESU1,ESU1,Okinawa,26.251732,127.672239,5/15/2011,N0554,,,yes,0,0,1,1,1,0,1,0,1,5
11012,Holothuria,impatiens,ESU2,ESU2,ESU2,Okinawa,26.32577,127.744874,5/19/2011,N0555,,,yes,1,1,1,1,1,0,0,1,1,7
10127,Holothuria,truncata,gracilis,gracilis,truncata,Heron Island,-23.4417666667,151.9004333333,11/16/2009,"N0556,FLMNH_171_E02",,,no,1,0,1,1,1,0,1,0,1,6
10126,Holothuria,gracilis,gracilis,gracilis,gracilis,Heron Island,-23.4417666667,151.9004333333,11/16/2009,"N0557,FLMNH_171_H01",,,no,1,1,1,1,1,0,1,0,1,7
5624,Holothuria,impatiens,ESU3,ESU3,gracilis,Siquijor Prov.,9.22212,123.44926,5/21/2006,"N0575,X0043",,,,1,1,1,1,1,0,0,0,1,6
7360,Holothuria,impatiens,ESU3,ESU3,gracilis,Nosy B̩,-13.5039,47.9517,5/13/2008,"N0576,FLMNH_043_H05",,,yes,1,1,1,0,1,0,1,0,0,5
8928,Holothuria,impatiens,ESU3,ESU3,gracilis,Tanzania,-6.14623,39.13786,8/13/2009,"N0577,FLMNH_080_H09",,,,1,1,1,0,1,0,1,0,0,5
8193,Holothuria,impatiens,ESU1,ESU1,BandW,Lizard Island,-14.6805,145.4714,2/10/2009,"N0578,FLMNH_036_E07",,,yes,1,1,1,1,1,0,1,0,1,7
8941,Holothuria,impatiens,ESU3,ESU3,gracilis,Tanzania,-6.38733,39.28727,8/16/2009,"N0579,FLMNH_080_G01",,,,1,1,1,1,1,0,1,0,0,6
7469,Holothuria,impatiens,ESU3,ESU3,ESU3,Nosy B̩,-13.4806,48.2333,5/14/2008,"N0580,FLMNH_043_D04",,,yes,1,1,1,1,1,0,1,0,0,6
8191,Holothuria,impatiens,ESU1,BandW,ESU1,Lizard Island,-14.6805,145.4714,2/10/2009,"N0581,FLMNH_036_G07",,,yes,1,0,1,1,1,0,1,0,1,6
10313,Holothuria,impatiens,ESU1,ESU1,BandW,Guam,13.4649,144.6872,6/9/2010,N0582,,,yes,0,1,1,1,1,0,1,0,1,6
9699,Holothuria,impatiens,RedSea,RedSea,,Egypt,27.32,33.71,09/03/09,"N0583,FLMNH_084_H05",STA1EG004,yes,,1,1,1,0,1,0,1,1,1,7
9701,Holothuria,impatiens,RedSea,RedSea,,Egypt,27.32,33.71,09/03/09,"N0584,FLMNH_084_D05",ST01EG026,yes,,1,1,1,0,1,0,1,1,1,7
PH-9,Holothuria,impatiens,gracilis,gracilis,subsample only,Philippines,16.38,119.91,,N0613,,,,0,0,1,1,1,0,1,0,1,5
PH-10,Holothuria,impatiens,gracilis,gracilis,subsample only,Philippines,16.38,119.91,,N0614,,,,0,0,1,1,1,0,1,0,1,5
PH-11,Holothuria,impatiens,gracilis,gracilis,subsample only,Philippines,16.38,119.91,,N0615,,,,0,0,1,0,1,0,1,0,0,3
