"UFID","Genus","Species","consensusESU","molecularESU","morphologicalESU","Country","Lat","Long","Date.Collected","Extract","notes","ossicle_pictures","Photo","n16S","n16Sc","nCOI","nATP6","nc0036","nc0775","nITS","nLSU","nH3a","sumLoci","SingleExtract","UFID_idig","uuid_idig"
"11743","Holothuria","impatiens","WA","WA","WA","StMartin",18.07,-63.012,"04/09/12","N1007","","","yes",0,0,1,1,1,0,1,0,1,5,"N1007","11743-echinodermata","a76b3d09-e72e-4bf0-965b-402a9d1507a1"
"11790","Holothuria","impatiens","WA","WA","WA","StMartin",18.102,-62.983,"04/12/12","N1008","","","yes",0,0,1,1,1,1,1,0,0,5,"N1008","11790-echinodermata","92a261bd-2f2b-45e8-854d-73f266eddba2"
"11210","Holothuria","impatiens","ESU1","ESU1","ESU1","Marquesas",-7.9631666667,-140.6638,"11/26/2012","N1009","","","",0,0,1,1,1,1,1,0,0,5,"N1009","11210-echinodermata","dc4b30a1-c626-41d1-9483-8bea60b1ae81"
"IE-2007-812","Holothuria","impatiens","assignESU","","","Madagascar",-13.416,47.95,"","N1063","","","",0,0,0,0,0,0,0,0,0,0,"N1063",NA,NA
"932","Holothuria","impatiens","ESU1","ESU1","BandW","Hawaii",20.93765,-156.34048,"10/08/2000","N1149","","","",0,0,1,0,0,0,0,0,0,1,"N1149","932-echinodermata","7abef873-fc8a-477c-80bd-4a65226eaf4a"
"962","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Hawaii",19.4769166667,-155.9398611111,"11/4/1997","N1150","","","",0,0,1,1,1,0,0,0,0,3,"N1150","962-echinodermata","84fd4fa2-289b-4c8e-9db6-910d1c0fd22a"
"6059","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Oahu",21.405246,-157.984712,"10/2006","N1151","","","",0,0,1,1,1,0,1,0,0,4,"N1151","6059-echinodermata","9556e40d-afef-49d7-b161-a0740a5861d3"
"6279","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Maui",20.8108,-156.6214,"12/8/2007","N1152","","","",0,0,1,1,1,0,1,0,0,4,"N1152","6279-echinodermata","cda896c8-885a-47d1-85d9-e85f2395c369"
"6280","Holothuria","impatiens","Hawaii","Hawaii","BandW","Maui",20.8108,-156.6214,"12/8/2007","N1153","","","",0,0,1,1,1,0,1,0,0,4,"N1153","6280-echinodermata","4e88a17c-3e15-4d23-ae63-f7660d9822f4"
"6281","Holothuria","impatiens","Hawaii","Hawaii","BandW","Maui",21.0031,-156.6694,"10/17/2007","N1154","","","",0,0,1,1,1,0,1,0,0,4,"N1154","6281-echinodermata","d066c2fa-aead-4bbb-aca6-f199c9e3b371"
"7221","Holothuria","impatiens","ESU2","","ESU2","Nosy B̩",-13.44624,48.33157,"5/26/2008","N1155","","","",0,0,1,0,0,0,0,0,0,1,"N1155","7221-echinodermata","c533f18c-ad3b-46ec-a68d-6bdfced159e8"
"7287","Holothuria","impatiens","ESU2","","ESU2?","Nosy B̩",-13.58018,47.82011,"5/24/2008","N1156","","","yes",0,0,1,1,1,1,1,0,0,5,"N1156","7287-echinodermata","ab7fed84-a8aa-4017-8b19-1c75ded33f72"
"7318","Holothuria","impatiens","ESU2","","ESU2","Nosy B̩",-13.44624,48.33157,"5/26/2008","N1158","","","yes",0,0,1,1,1,1,1,0,0,5,"N1158","7318-echinodermata","7c8b41d9-e949-4f71-a74e-c3fb8dff6ccd"
"8346","Holothuria","impatiens","gracilis","gracilis","juvenile, inconclusive","Lizard Island",-14.45434,145.308842,"2/15/2009","N1159","","","yes",0,0,1,0,0,0,0,0,0,1,"N1159","8346-echinodermata","491dc2e1-8490-4773-91e4-dceb1ed987b6"
"10050","Holothuria","impatiens","needsSeq","didn't amplify","juvenile, inconclusive","Heron Island",-23.4732833333,151.9504666667,"11/17/2009","N1160","","","yes",0,0,0,0,0,0,0,0,0,0,"N1160","10050-echinodermata","a6729f5c-c356-43fe-b8ad-1e868e156fbe"
"11956","Holothuria","impatiens","tigerRedSea","tigerRedSea","TigerRedSea","Djibouti",11.7,42.91,"10/02/12","N1162","","","yes",0,0,1,1,1,1,1,0,0,5,"N1162","11956-echinodermata","3ebbbe98-6f79-4363-bc5e-9749ee76fa64"
"12030","Holothuria","impatiens","RedSea","RedSea","RedSea","Djibouti",11.7,42.91,"9/30/2012","N1163","","","no",0,0,1,1,1,0,1,0,0,4,"N1163","12030-echinodermata","362a3648-9fe3-420e-8820-6b36592280b6"
"12049","Holothuria","impatiens","RedSea","RedSea","RedSea","Djibouti",11.7,42.91,"10/1/2012","N1164","","","no",0,0,1,1,1,0,1,0,0,4,"N1164","12049-echinodermata","1dcef9a6-b615-4d29-964f-eca267b49b42"
"12051","Holothuria","impatiens","RedSea","RedSea","RedSea","Djibouti",11.7,42.91,"10/1/2012","N1165","","","no",0,0,1,1,1,0,1,0,0,4,"N1165","12051-echinodermata","4db4520e-7590-4a07-833f-b2343f952ee6"
"12070","Holothuria","impatiens","","","RedSea","Djibouti",11.7,42.91,"10/2/2012","N1166","","","no",0,0,0,0,0,0,0,0,0,0,"N1166","12070-echinodermata","43543f88-89a8-4dc4-bc8e-7bbafec32001"
"12086","Holothuria","impatiens","tigerRedSea","tigerRedSea","TigerRedSea","Djibouti",11.7,42.91,"10/2/2012","N1167","","","no",0,0,1,1,1,1,1,0,0,5,"N1167","12086-echinodermata","75467547-0237-434d-8e06-c2caf47435b7"
"12184","Holothuria","impatiens","tigerRedSea","tigerRedSea","TigerRedSea","Saudi Arabia",21.75674,39.05175,"10/9/2012","N1168","","","",0,0,1,1,1,1,1,0,0,5,"N1168","12184-echinodermata","e0ea81eb-7d8a-4982-ba50-a205e48801a2"
"5556","Holothuria","impatiens","ESU1","ESU1","ESU1","Vanuatu",-15.300355,166.91821,"10/9/2006","S0050","","","",0,0,1,0,0,0,0,0,0,1,"S0050","5556-echinodermata","920f32e9-1131-47f3-9ba7-6919adbeb806"
"5566","Holothuria","impatiens","ESU1","ESU1","ESU1","Vanuatu",-15.300355,166.91821,"10/9/2006","S0057","","","",0,0,1,0,0,0,0,0,0,1,"S0057","5566-echinodermata","9bd4161a-04ab-4030-91b5-f6a93b4794d2"
"5877","Holothuria","impatiens","ESU3","ESU3","ESU1","Yap",9.54901,138.08598,"8/4/2007","S0066","","","",1,1,1,1,1,0,1,0,0,6,"S0066","5877-echinodermata","7c433462-c39e-4e19-af80-55a54ee0dc27"
"5970","Holothuria","impatiens","tiger","tiger","tiger?","Maui",20.75938,-156.466356,"7/14/2007","S0072","","","",1,0,1,1,1,1,1,0,0,6,"S0072","5970-echinodermata","7ad4708a-abc9-4f02-bedc-ef1116eec291"
"6485","Holothuria","impatiens","ESU1","ESU1","ESU1","R̩union",-21.1116,55.24895,"8/9/2007","S0193","","","yes",1,1,1,0,0,0,0,0,0,3,"S0193","6485-echinodermata","d68a83a0-ae3a-4d97-87ed-b048c02d2d63"
"6487","Holothuria","impatiens","ESU1","ESU1","ESU1","R̩union",-21.1116,55.24895,"8/9/2007","S0195","","","yes",0,0,1,0,0,0,0,0,0,1,"S0195","6487-echinodermata","9b723ab0-de9f-410e-a83d-a9f26520ac21"
"6370","Stichopus","monotuberculatus",NA,"outgroup","outgroup","Reunion",NA,NA,"","S0213","","","YES",1,0,1,1,0,0,0,1,1,5,"S0213","6370-echinodermata","93bb2aae-b5bf-4e36-bada-c9331b48255a"
"6371","Holothuria","impatiens","ESU2","ESU2","ESU2","R̩union",-21.0895,55.2312,"8/1/2007","S0214","","","yes",1,1,1,1,0,0,1,0,0,5,"S0214","6371-echinodermata","6f8d89c2-1a8b-43cb-8f0e-b5fc9b8c5e69"
"REU_172_1","Holothuria","impatiens","ESU1","ESU1","","R̩union",-21.0787,55.2256,"","S0220","","","",0,0,1,0,0,0,0,0,0,1,"S0220",NA,NA
"6771","Holothuria","impatiens","Wpac","Wpac","ESU1","Majuro",7.12419,171.35625,"4/7/2008","S0402","","","yes",1,1,1,1,1,0,1,0,1,7,"S0402","6771-echinodermata","8f4d2f39-7abf-44a5-b6e2-b50f7fc0aa4f"
"6774","Holothuria","impatiens","ESU1","ESU1","ESU1","Majuro",7.12419,171.35625,"4/7/2008","S0403","","","yes",0,0,1,0,0,0,0,0,0,1,"S0403","6774-echinodermata","56514b92-bae1-424e-a618-aa131472af25"
"6748","Holothuria","impatiens","ESU1","ESU1","ESU1","Majuro",7.12419,171.35625,"4/7/2008","S0404","","","yes",1,1,1,0,0,0,0,0,0,3,"S0404","6748-echinodermata","79597ed2-5f81-4c71-936b-a25f2e0f8f4e"
"6745","Holothuria","impatiens","ESU1","ESU1","ESU1","Majuro",7.15792,171.21438,"4/8/2008","S0407","","","",0,0,1,0,0,0,0,0,0,1,"S0407","6745-echinodermata","be5b4a94-4d92-4a49-8742-19e59ca20bfd"
"7421","Holothuria","impatiens","ESU2","ESU2","subsample only","R̩union",-21.0787,55.2256,"","S0417","","","",0,1,1,0,0,0,0,0,0,2,"S0417","7421-echinodermata","330ab143-a93f-4103-8e3c-18c35d8f1be5"
"6957","Holothuria","impatiens","ESU1","ESU1","ESU1","Kosrae",5.34222,163.01986,"2/23/2008","S0419","","","yes",1,0,1,0,0,0,0,0,0,2,"S0419","6957-echinodermata","53ab27e8-e76a-4104-8363-c5c81107e625"
"6929","Holothuria","impatiens","tiger","tiger","tiger","Kosrae",5.29649,162.8981,"2/27/2008","S0441","","","yes",1,0,1,1,1,1,1,0,1,7,"S0441","6929-echinodermata","38babf03-134f-4eff-9616-798605d928c6"
"6989","Holothuria","impatiens","ESU1","ESU1","ESU1","Kosrae",5.36916,163.01382,"2/28/2008","S0444","","","yes",0,0,1,0,0,0,0,0,0,1,"S0444","6989-echinodermata","4d38e26d-f796-4f08-aa64-c8011a7c20e7"
"6990","Holothuria","impatiens","ESU1","ESU1","ESU1","Kosrae",5.36916,163.01382,"2/28/2008","S0445","","","yes",0,0,1,0,0,0,0,0,0,1,"S0445","6990-echinodermata","d6bf1716-e156-4282-afd8-4a2c25fbe796"
"6988","Holothuria","impatiens","ESU1","ESU1","ESU1","Kosrae",5.36916,163.01382,"2/28/2008","S0446","","","yes",0,0,1,0,0,0,0,0,0,1,"S0446","6988-echinodermata","6fd3701a-7dd3-4626-9ec7-579620abe2c2"
"6987","Holothuria","impatiens","ESU1","ESU1","ESU1","Kosrae",5.36916,163.01382,"2/28/2008","S0447","","","yes",1,1,1,0,0,0,0,0,0,3,"S0447","6987-echinodermata","0b84ed6a-98d5-4fd1-87e6-3c73d282b5b2"
"6982","Holothuria","impatiens","ESU1","ESU1","ESU1","Kosrae",5.36916,163.01382,"2/28/2008","S0448","","","yes",0,0,1,0,0,0,0,0,0,1,"S0448","6982-echinodermata","dd63bbb4-4247-4854-bf1a-8b9e3117dda5"
"6983","Holothuria","impatiens","ESU2","ESU2","ESU2","Kosrae",5.36916,163.01382,"2/28/2008","S0449","","","yes",1,1,1,1,0,0,1,0,1,6,"S0449","6983-echinodermata","9312560a-3abb-4635-b317-a0046da6a054"
"6809","Holothuria","impatiens","Wpac","Wpac","ESU1","Kosrae",5.36916,163.01382,"2/28/2008","S0450","","","",1,0,1,1,1,1,1,0,1,7,"S0450","6809-echinodermata","9e4aab17-18eb-46b7-b188-3893224e1193"
"6967","Holothuria","impatiens","ESU1","ESU1","ESU1","Kosrae",5.36916,163.01382,"3/4/2008","S0455","","","",0,0,1,0,0,0,0,0,0,1,"S0455","6967-echinodermata","a2c0c2c5-1bf2-4dc2-a804-989ccb140b28"
"6711","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.479906,144.726632,"2/6/2008","S0458","","","yes",1,1,1,0,1,0,1,0,1,6,"S0458","6711-echinodermata","25e44d94-6bbb-4ea3-b5c6-03bdf5a70452"
"6729","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.479906,144.726632,"2/6/2008","S0459","","","yes",1,1,1,1,1,0,1,0,1,7,"S0459","6729-echinodermata","5334f8b5-dffa-43b9-a9d2-1323e1b333f1"
"6712","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.479906,144.726632,"2/6/2008","S0460","","","yes",1,1,1,0,1,0,0,0,1,5,"S0460","6712-echinodermata","1f3ef14f-d8f4-4bf7-90c8-40962a879e11"
"7081","Holothuria","impatiens","ESU1","ESU1","ESU1","Guam",13.426695,144.796052,"2/14/2008","S0464","","","yes",1,1,1,1,1,0,1,1,1,8,"S0464","7081-echinodermata","9f15a349-0b56-46d8-99e6-350eb9828955"
"7076","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.426695,144.796052,"2/14/2008","S0466","","","yes",0,0,1,0,0,0,0,0,0,1,"S0466","7076-echinodermata","a05c7ca2-1aa9-4ec4-9189-c91d8e17b04d"
"6726","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.426695,144.796052,"2/14/2008","S0467","","","yes",0,0,1,0,0,0,0,0,0,1,"S0467","6726-echinodermata","6075fb6f-3a79-4abb-ae1d-7ab1ece1bd4b"
"6722","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.426695,144.796052,"2/14/2008","S0468","","","yes",0,1,1,0,0,0,0,0,0,2,"S0468","6722-echinodermata","a3b3c913-adc0-4d72-8a0f-267a251e84a8"
"MOLAF124","Holothuria","impatiens","Medit","Medit","","Sicily",38.13,15.05,"","X0002","","","",1,0,1,0,0,0,0,0,0,2,"X0002",NA,NA
"4255","Holothuria","impatiens","ESU1","ESU1","ESU1","Oman",23.637545,58.48879,"1/26/2005","X0011","","","yes",1,0,0,0,0,0,0,0,0,1,"X0011","4255-echinodermata","89bb997e-f439-47ec-a013-716de4368257"
"4805","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Oahu",19.99667,-155.24556,"2/24/2006","X0027","","","",1,0,1,0,0,0,0,0,0,2,"X0027","4805-echinodermata","70856996-0d0a-4037-a20f-bea64e608477"
"1277","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Maui",20.810833,-156.621389,"11/26/2002","X0029","","","",1,0,1,0,0,0,0,0,0,2,"X0029","1277-echinodermata","82ec428f-5431-4317-bbdd-bfaa29d9c7a3"
"318","Holothuria","impatiens","ESU1","ESU1","ESU1","Rangiroa",-14.9833333333,-147.6166666667,"10/29/2001","X0030","","","",1,0,1,0,0,0,0,0,0,2,"X0030","318-echinodermata","f68d98c7-4d73-40a2-bd5e-62db08ea5b35"
"4258","Holothuria","impatiens","ESU1","ESU1","ESU1","Oman",23.637545,58.48879,"1/26/2005","X0031","","","yes",1,0,1,0,0,0,0,0,0,2,"X0031","4258-echinodermata","da115484-0f64-4ab3-a6b3-81e273e6f730"
"4098","Holothuria","impatiens","ESU1","ESU1","ESU1","Taiwan",21.9333,120.8167,"5/14/2005","X0032","","","",1,0,1,0,0,0,0,0,0,2,"X0032","4098-echinodermata","9acd90fc-2630-42d6-a363-a974f3184d65"
"4257","Holothuria","impatiens","ESU1","ESU1","ESU1","Oman",23.637545,58.48879,"1/26/2005","X0033","","","yes",1,0,1,0,0,0,0,0,0,2,"X0033","4257-echinodermata","bdfa27e9-aa60-4a54-991f-c5b4bd9241c3"
"5326","Holothuria","impatiens","ESU1","ESU1","ESU1","Moorea",-17.4748,-149.8188,"8/5/2006","X0034","","","yes",1,0,1,0,0,0,0,0,0,2,"X0034","5326-echinodermata","5f513a48-8f76-4401-a68f-5aab14ef9c14"
"5271","Holothuria","impatiens","ESU2","ESU2","ESU2","Moorea",-17.4747,-149.7981,"8/3/2006","X0035","","yes","yes",1,0,1,0,0,0,0,0,0,2,"X0035","5271-echinodermata","715e6842-80b0-4807-abf7-7bdcdbf1ec27"
"5340","Holothuria","impatiens","ESU2","ESU2","ESU2","Moorea",-17.4964,-149.7528,"6/20/2006","X0036","","yes","yes",1,0,1,0,0,0,0,0,0,2,"X0036","5340-echinodermata","161fd47c-3f26-45df-90d0-08f2fa58e1b2"
"5294","Holothuria","impatiens","ESU1","ESU1","ESU1","Moorea",-17.4836,-149.8581,"7/24/2006","X0037","","","yes",1,0,1,0,0,0,0,0,0,2,"X0037","5294-echinodermata","9bfa4ced-bf6e-45cf-a97a-5baf8f9e437c"
"5263","Holothuria","impatiens","ESU2","ESU2","ESU2","Moorea",-17.4842,-149.8578,"8/2/2006","X0038","","","yes",1,0,1,0,0,0,0,0,0,2,"X0038","5263-echinodermata","98efbf0c-4540-4bf1-9b96-9f9866afeca2"
"5339","Holothuria","impatiens","ESU1","ESU1","ESU1","Moorea",-17.4964,-149.7528,"6/20/2006","X0039","","","yes",1,0,1,0,0,0,0,0,0,2,"X0039","5339-echinodermata","1922573d-ad1f-4c68-87e9-795533dd381e"
"5320","Holothuria","impatiens","ESU1","ESU1","ESU1","Moorea",-17.4764,-149.8306,"7/18/2006","X0040","","","yes",1,0,1,0,0,0,0,0,0,2,"X0040","5320-echinodermata","fc55fa7e-76fc-4ebb-8dbb-caa1bc551d78"
"5206","Holothuria","impatiens","ESU1","ESU1","ESU1","Moorea",-17.4964,-149.7528,"6/20/2006","X0041","","","yes",1,0,1,0,0,0,0,0,0,2,"X0041","5206-echinodermata","93bad863-6bb7-4407-9dd4-8ebdc1896613"
"5290","Holothuria","impatiens","ESU1","ESU1","ESU1","Moorea",-17.4747,-149.7981,"8/3/2006","X0042","","","no",1,0,1,0,0,0,0,0,0,2,"X0042","5290-echinodermata","e7088092-009a-4cbe-b5b2-0862ae4d5689"
"5679","Holothuria","impatiens","ESU1","ESU1","ESU1","Philippines",9.43301,123.38418,"5/23/2006","X0044","","","",0,0,1,0,0,0,0,0,0,1,"X0044","5679-echinodermata","a1bc2416-f66a-41fa-bec4-777409a0d9c7"
"5597","Holothuria","impatiens","ESU1","ESU1","ESU1","Bohol",9.633092,123.782025,"6/11/2006","X0046","","","",1,0,1,0,0,0,0,0,0,2,"X0046","5597-echinodermata","9eb42eb4-9252-4538-80cc-7f06099bb523"
"5625","Holothuria","impatiens","ESU2","ESU2","ESU2","Bohol",9.633092,123.782025,"6/13/2006","X0048","","","",1,0,1,0,0,0,0,0,0,2,"X0048","5625-echinodermata","0f630f58-b80c-450d-a31c-eead22eb7331"
"5608","Holothuria","impatiens","ESU2","ESU2","ESU2","Bohol",9.633092,123.782025,"6/13/2006","X0049","","","",1,0,1,0,0,0,0,0,0,2,"X0049","5608-echinodermata","d06af634-0937-47b6-9641-c22c821edf4b"
"5610","Holothuria","impatiens","Wpac","Wpac","ESU1","Bohol",9.633092,123.782025,"6/13/2006","X0050","","","",1,0,1,0,0,0,0,0,0,2,"X0050","5610-echinodermata","4aad592a-ec08-4cf5-858a-fb4de4673660"
